,13,advanced,allure,amber,appeal,apple,armani,baristas,blend,blending,bold,breville,brew,brewing,café,camera,citrus,coffee,colors,comes,compact,confident,convenience,cutting,delonghi,design,designed,dior,display,ease,eau,edge,elegant,emporio,end,enjoy,espresso,esspressor,exotic,featuring,flagship,floral,fragrance,fresh,glyph,high,home,ideal,individuals,innovative,inspired,interface,iphone,looking,lovers,luxurious,machine,mancera,minimalist,miss,modern,notes,offering,package,parfum,parfume,perfect,performance,phone,photography,powerful,quality,refined,rich,romantic,samsung,scents,sensual,setup,sleek,smartphone,sophisticated,spicy,stunning,stylish,timeless,transparent,upgrade,various,want,warm,wild
Product 1,0.0,0.2813524493533522,0.0,0.0,0.0,0.5627048987067044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25143649724601785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3199208195837228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2813524493533522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22699338459920737,0.0,0.25143649724601785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2813524493533522,0.25143649724601785,0.0,0.0,0.3199208195837228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Product 2,0.33093009788357514,0.0,0.0,0.0,0.0,0.24876568979656571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22231465843356693,0.0,0.0,0.33093009788357514,0.33093009788357514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24876568979656571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33093009788357514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2828670002587245,0.20070259217171504,0.0,0.22231465843356693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33093009788357514,0.33093009788357514,0.0,0.0,0.0
Product 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2906801966139316,0.2906801966139316,0.0,0.2906801966139316,0.0,0.0,0.24846284993916246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2906801966139316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2906801966139316,0.0,0.24846284993916246,0.24846284993916246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24846284993916246,0.24846284993916246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2906801966139316,0.0,0.24846284993916246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1952752833208999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2906801966139316,0.0,0.0
Product 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3015517076963233,0.0,0.2577554218382513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3015517076963233,0.0,0.0,0.3015517076963233,0.0,0.0,0.0,0.20257862710375807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3015517076963233,0.0,0.3015517076963233,0.0,0.0,0.0,0.0,0.3015517076963233,0.0,0.0,0.20257862710375807,0.20257862710375807,0.0,0.0,0.0,0.0,0.20257862710375807,0.0,0.2577554218382513,0.0,0.0,0.3015517076963233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2577554218382513,0.0
Product 5,0.0,0.2273762442825325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20319953336376992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3024759678006728,0.0,0.25854544572803406,0.0,0.0,0.0,0.0,0.0,0.3024759678006728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3024759678006728,0.0,0.0,0.0,0.0,0.25854544572803406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25854544572803406,0.1834457222098937,0.3024759678006728,0.20319953336376992,0.20319953336376992,0.0,0.0,0.0,0.3024759678006728,0.0,0.0,0.3024759678006728,0.0,0.20319953336376992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Product 6,0.0,0.0,0.26719446299484134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45677619966547495,0.0,0.0,0.26719446299484134,0.0,0.26719446299484134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26719446299484134,0.17949786421945974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26719446299484134,0.0,0.22838809983273747,0.0,0.0,0.26719446299484134,0.17949786421945974,0.17949786421945974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26719446299484134,0.0,0.0,0.0,0.0,0.0,0.0,0.26719446299484134,0.0,0.0,0.0,0.26719446299484134,0.0,0.0,0.0,0.0,0.0,0.0
Product 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32045289274089234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3749023642376872,0.0,0.0,0.0,0.0,0.3749023642376872,0.0,0.3749023642376872,0.0,0.0,0.0,0.0,0.0,0.0,0.3749023642376872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2273709064090022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28182037790579717,0.2518546713776402,0.0,0.0,0.0,0.0,0.0,0.3749023642376872,0.0,0.0,0.0,0.0,0.0
Product 8,0.0,0.0,0.0,0.3106273482848641,0.3106273482848641,0.0,0.0,0.0,0.0,0.3106273482848641,0.2655129490173296,0.0,0.0,0.0,0.0,0.0,0.3106273482848641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2655129490173296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2086755277797948,0.3106273482848641,0.0,0.0,0.0,0.0,0.0,0.0,0.3106273482848641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2086755277797948,0.0,0.0,0.0,0.0,0.0,0.0,0.3106273482848641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3106273482848641
Product 9,0.0,0.0,0.0,0.0,0.0,0.0,0.31919187681674294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31919187681674294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31919187681674294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21442906983410212,0.0,0.0,0.0,0.0,0.0,0.31919187681674294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31919187681674294,0.27283359621725617,0.0,0.0,0.0,0.21442906983410212,0.21442906983410212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31919187681674294,0.0,0.0,0.0,0.0,0.31919187681674294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27283359621725617,0.0
Product 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2557693545073008,0.0,0.0,0.0,0.0,0.0,0.2557693545073008,0.0,0.0,0.0,0.21862233302527695,0.0,0.0,0.2557693545073008,0.0,0.2557693545073008,0.0,0.2557693545073008,0.0,0.0,0.0,0.0,0.2557693545073008,0.0,0.0,0.0,0.0,0.0,0.0,0.21862233302527695,0.21862233302527695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21862233302527695,0.2557693545073008,0.0,0.0,0.0,0.0,0.0,0.2557693545073008,0.0,0.0,0.21862233302527695,0.0,0.0,0.0,0.0,0.0,0.0,0.2557693545073008,0.0,0.0,0.17182262069456403,0.0,0.0,0.0,0.0,0.17182262069456403,0.0,0.21862233302527695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2557693545073008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
User Profile,0.0,0.2813524493533522,0.0,0.0,0.0,0.5627048987067044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25143649724601785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3199208195837228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2813524493533522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22699338459920737,0.0,0.25143649724601785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2813524493533522,0.25143649724601785,0.0,0.0,0.3199208195837228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
